id,issn,erih_id
3,"['1552-5457', '0075-4242']",442852
12,"['1552-3977', '0891-2432']",430583
2,"['1552-390X', '0013-9165']",343684
4,"['0263-2764', '1460-3616']",447745
7,"['1465-1165', '1741-2757']",440519
9,"['1059-7123', '1741-2633']",437275
6,"['0275-0740', '1552-3357']",437633
2,"['0300-9483', '1502-3885']",341032
8,"['1461-7323', '1350-5084']",445477
19,"['1460-3608', '0265-4075']",443737
9,"['0146-6216', '1552-3497']",437942
17,"['1460-3551', '1367-5494']",341525
12,"['1839-2628', '1832-4274']",469918
24,"['1359-1053', '1461-7277']",342588
1,"['1552-3020', '0886-1099']",437414
5,"['1552-3861', '0011-0000']",439542
10,"['0950-0170', '1469-8722']",341902
6,"['0392-1921', '1467-7695']",439909
8,"['1461-7013', '0907-5682']",340457
1,"['0163-2787', '1552-3918']",440527
8,"['1552-7565', '1077-8004']",446261
4,"['0959-3535', '1461-7161']",340467
21,"['1461-7021', '1359-1045']",439148
67,"['1552-6518', '0886-2605']",413929
3,"['1078-0874', '1552-8332']",447975
13,"['0093-8548', '1552-3594']",439555
8,"['1741-282X', '0018-7267']",342897
7,"['0010-4140', '1552-3829']",339954
19,"['1461-7315', '1461-4448']",341593
11,"['1552-7824', '0092-0703']",343304
4,"['1081-1826', '1558-3708']",447272
4,"['1069-3971', '1552-3578']",439615
7,"['0332-5865', '1502-4717']",343546
4,"['0013-1644', '1552-3888']",423797
6,"['1461-7226', '0020-8523']",341294
3,"['1741-2773', '1464-7001']",440623
11,"['0047-2875', '1552-6763']",411958
6,"['1461-7048', '0921-3740']",439642
2,"['0021-9894', '1741-6442']",442635
2,"['0013-161X', '1552-3519']",440087
11,"['1741-2722', '1461-9571']",440415
9,"['1461-4456', '1461-7080']",439919
9,"['0899-7640', '1552-7395']",445251
2,"['1401-5439', '1651-2022']",341953
4,"['0143-831X', '1461-7099']",340935
2,"['1356-3890', '1461-7153']",440526
4,"['1552-4167', '0145-4455']",438350
3,"['1741-315X', '1476-1270']",447191
3,"['1470-5931', '1741-301X']",444575
9,"['1354-0688', '1460-3683']",342774
6,"['1094-4281', '1552-7425']",445481
11,"['1363-4607', '1461-7382']",416744
20,"['1552-5481', '0192-513X']",442914
9,"['2044-8309', '0144-6665']",341449
12,"['1460-3578', '0022-3433']",339805
3,"['0963-9470', '1461-7293']",444289
2,"['0741-7136', '1552-3047']",343654
18,"['1073-1911', '1552-3489']",438173
38,"['1552-6518', '0886-2605']",413929
11,"['1552-8766', '0022-0027']",341332
7,"['0392-1921', '1467-7695']",439909
8,"['1839-2628', '1832-4274']",469918
2,"['0332-5865', '1502-4717']",343546
3,"['1651-2278', '1403-6096']",413517
10,"['0899-7640', '1552-7395']",445251
1,"['0013-161X', '1552-3519']",440087
15,"['0010-4140', '1552-3829']",339954
5,"['0193-841X', '1552-3926']",440530
4,"['0895-9048', '1552-3896']",440095
6,"['1552-390X', '0013-9165']",343684
14,"['0047-2875', '1552-6763']",411958
7,"['1470-5931', '1741-301X']",444575
12,"['1552-6526', '0261-927X']",443187
5,"['1552-3861', '0011-0000']",439542
1,"['1401-5439', '1651-2022']",341953
4,"['1081-1826', '1558-3708']",447272
7,"['0267-3231', '1460-3705']",342677
10,"['0267-257X', '1472-1376']",443259
1,"['0034-4087', '1547-3201']",446387
11,"['1741-3095', '1462-4745']",446248
8,"['1741-2773', '1464-7001']",440623
10,"['0093-8548', '1552-3594']",439555
3,"['1461-7447', '0959-3543']",447737
4,"['1741-2951', '1469-6053']",443738
17,"['1552-7433', '0146-1672']",445664
12,"['1461-7315', '1461-4448']",341593
2,"['0951-6298', '1460-3667']",341606
1,"['1741-2722', '1461-9571']",440415
9,"['0963-9470', '1461-7293']",444289
5,"['0275-0740', '1552-3357']",437633
16,"['1460-3608', '0265-4075']",443737
11,"['0959-3535', '1461-7161']",340467
6,"['1078-0874', '1552-8332']",447975
2,"['1530-9576', '1557-9271']",446230
13,"['0146-6216', '1552-3497']",437942
5,"['1552-5414', '0891-2416']",442696
4,"['0021-9894', '1741-6442']",442635
6,"['1356-3890', '1461-7153']",440526
2,"['1069-3971', '1552-3578']",439615
27,"['1359-1053', '1461-7277']",342588
10,"['1552-7824', '0092-0703']",343304
6,"['1552-3977', '0891-2432']",430583
7,"['1552-4167', '0145-4455']",438350
8,"['1461-7005', '1362-3613']",438299
6,"['0888-3254', '1533-8371']",340057
6,"['0143-831X', '1461-7099']",340935
9,"['0967-0106', '1460-3640']",341164
8,"['1461-7021', '1359-1045']",439148
3,"['1461-7129', '0959-6801']",440446
1,"['0741-7136', '1552-3047']",343654
2,"['1552-5457', '0075-4242']",442852
7,"['1741-315X', '1476-1270']",447191
2,"['0093-6502', '1552-3810']",439282
1,"['1741-2625', '1469-7874']",437269
1,"['1059-7123', '1741-2633']",437275
19,"['0300-9483', '1502-3885']",341032
7,"['1552-5481', '0192-513X']",442914
14,"['1552-7565', '1077-8004']",446261
8,"['0170-8406', '1741-3044']",341656
12,"['1552-6127', '1090-1981']",441080
11,"['1464-8849', '1741-3001']",444132
6,"['0952-6951', '1461-720X']",441215
7,"['1460-3624', '0957-9265']",439917
2,"['1354-0661', '1460-3713']",342825
4,"['1094-4281', '1552-7425']",445481
4,"['0163-2787', '1552-3918']",440527
21,"['1741-282X', '0018-7267']",342897
2,"['1461-7013', '0907-5682']",340457
4,"['1460-3551', '1367-5494']",341525
9,"['1460-3659', '0306-3127']",341858
19,"['1552-8448', '1077-8012']",448049
5,"['1363-4607', '1461-7382']",416744
7,"['1461-703X', '0261-0183']",340594
8,"['0950-0170', '1469-8722']",341902
4,"['1465-1165', '1741-2757']",440519
9,"['1461-7323', '1350-5084']",445477
2,"['0013-1644', '1552-3888']",423797
3,"['2044-8309', '0144-6665']",341449
8,"['1354-0688', '1460-3683']",342774
24,"['1460-3578', '0022-3433']",339805
12,"['1461-7226', '0020-8523']",341294
2,"['1461-4456', '1461-7080']",439919
1,"['1552-4205', '0007-6503']",438754
25,"['0163-4437', '1460-3675']",340413
5,"['1552-3020', '0886-1099']",437414
3,"['0263-2764', '1460-3616']",447745
5,"['0163-2787', '1552-3918']",440527
22,"['0163-4437', '1460-3675']",340413
11,"['1461-7226', '0020-8523']",341294
16,"['0950-0170', '1469-8722']",341902
2,"['1552-4205', '0007-6503']",438754
5,"['1355-3259', '2044-8333']",421778
14,"['0392-1921', '1467-7695']",439909
3,"['1461-4456', '1461-7080']",439919
13,"['1356-3890', '1461-7153']",440526
22,"['1461-7315', '1461-4448']",341593
14,"['1461-7048', '0921-3740']",439642
2,"['1741-2625', '1469-7874']",437269
14,"['1461-7013', '0907-5682']",340457
1,"['1475-2409', '1741-2943']",443685
11,"['0013-161X', '1552-3519']",440087
10,"['1552-8766', '0022-0027']",341332
8,"['0275-0740', '1552-3357']",437633
12,"['1464-8849', '1741-3001']",444132
24,"['0263-2764', '1460-3616']",447745
13,"['0010-4140', '1552-3829']",339954
9,"['0013-1644', '1552-3888']",423797
6,"['1094-4281', '1552-7425']",445481
14,"['1460-3578', '0022-3433']",339805
8,"['1552-390X', '0013-9165']",343684
8,"['1465-1165', '1741-2757']",440519
8,"['0143-831X', '1461-7099']",340935
2,"['1552-3020', '0886-1099']",437414
13,"['1552-8448', '1077-8012']",448049
5,"['1463-4996', '1741-2641']",437855
9,"['1460-3624', '0957-9265']",439917
3,"['1651-2278', '1403-6096']",413517
6,"['0895-9048', '1552-3896']",440095
7,"['1460-3608', '0265-4075']",443737
4,"['0967-0106', '1460-3640']",341164
9,"['1460-3551', '1367-5494']",341525
15,"['0093-8548', '1552-3594']",439555
8,"['0146-6216', '1552-3497']",437942
10,"['0047-2875', '1552-6763']",411958
11,"['0267-3231', '1460-3705']",342677
1,"['1460-3659', '0306-3127']",341858
15,"['1741-282X', '0018-7267']",342897
6,"['0193-841X', '1552-3926']",440530
17,"['1552-6127', '1090-1981']",441080
3,"['1401-5439', '1651-2022']",341953
3,"['0741-7136', '1552-3047']",343654
33,"['0959-3535', '1461-7161']",340467
5,"['1552-6526', '0261-927X']",443187
11,"['1461-7323', '1350-5084']",445477
8,"['2044-8309', '0144-6665']",341449
11,"['0300-9483', '1502-3885']",341032
7,"['1073-1911', '1552-3489']",438173
15,"['1069-3971', '1552-3578']",439615
7,"['0034-4087', '1547-3201']",446387
8,"['1552-3861', '0011-0000']",439542
7,"['0899-7640', '1552-7395']",445251
6,"['1059-7123', '1741-2633']",437275
4,"['0093-6502', '1552-3810']",439282
2,"['1741-2951', '1469-6053']",443738
11,"['1461-703X', '0261-0183']",340594
14,"['0267-257X', '1472-1376']",443259
11,"['1461-7021', '1359-1045']",439148
9,"['0951-6298', '1460-3667']",341606
8,"['1552-7824', '0092-0703']",343304
11,"['0952-6951', '1461-720X']",441215
4,"['1078-0874', '1552-8332']",447975
25,"['1359-1053', '1461-7277']",342588
10,"['1470-5931', '1741-301X']",444575
18,"['0170-8406', '1741-3044']",341656
5,"['1461-7447', '0959-3543']",447737
6,"['1552-5414', '0891-2416']",442696
4,"['0021-9894', '1741-6442']",442635
40,"['1552-7565', '1077-8004']",446261
15,"['1552-5481', '0192-513X']",442914
11,"['1461-7005', '1362-3613']",438299
3,"['1552-3977', '0891-2432']",430583
18,"['1552-6518', '0886-2605']",413929
3,"['1354-0661', '1460-3713']",342825
1,"['1081-1826', '1558-3708']",447272
4,"['0888-3254', '1533-8371']",340057
1,"['1741-315X', '1476-1270']",447191
20,"['1552-7433', '0146-1672']",445664
9,"['1354-0688', '1460-3683']",342774
3,"['1839-2628', '1832-4274']",469918
1,"['1461-7129', '0959-6801']",440446
13,"['1741-2722', '1461-9571']",440415
3,"['1460-3659', '0306-3127']",341858
5,"['1552-4205', '0007-6503']",438754
4,"['1552-8448', '1077-8012']",448049
10,"['1552-390X', '0013-9165']",343684
1,"['0170-8406', '1741-3044']",341656
6,"['1552-8766', '0022-0027']",341332
4,"['1461-7021', '1359-1045']",439148
3,"['1461-7315', '1461-4448']",341593
8,"['1359-1053', '1461-7277']",342588
34,"['1552-6518', '0886-2605']",413929
10,"['1461-4456', '1461-7080']",439919
1,"['1461-7056', '1354-067X']",412123
9,"['1073-1911', '1552-3489']",438173
3,"['1651-2278', '1403-6096']",413517
4,"['0034-4087', '1547-3201']",446387
3,"['0013-1644', '1552-3888']",423797
16,"['0093-6502', '1552-3810']",439282
30,"['1552-7433', '0146-1672']",445664
2,"['0021-9894', '1741-6442']",442635
4,"['1741-315X', '1476-1270']",447191
9,"['1355-3259', '2044-8333']",421778
7,"['1354-0688', '1460-3683']",342774
4,"['0163-2787', '1552-3918']",440527
1,"['0267-257X', '1472-1376']",443259
2,"['0193-841X', '1552-3926']",440530
11,"['0963-9470', '1461-7293']",444289
8,"['0146-6216', '1552-3497']",437942
3,"['1552-3861', '0011-0000']",439542
13,"['0895-9048', '1552-3896']",440095
9,"['2044-8309', '0144-6665']",341449
11,"['0010-4140', '1552-3829']",339954
6,"['1741-2773', '1464-7001']",440623
3,"['1094-4281', '1552-7425']",445481
4,"['1069-3971', '1552-3578']",439615
7,"['1461-7005', '1362-3613']",438299
3,"['1552-6127', '1090-1981']",441080
13,"['1461-7013', '0907-5682']",340457
1,"['1552-5457', '0075-4242']",442852
3,"['1552-3020', '0886-1099']",437414
9,"['1552-7824', '0092-0703']",343304
7,"['0888-3254', '1533-8371']",340057
12,"['1741-282X', '0018-7267']",342897
9,"['0143-831X', '1461-7099']",340935
25,"['0950-0170', '1469-8722']",341902
3,"['1059-7123', '1741-2633']",437275
4,"['0300-9483', '1502-3885']",341032
7,"['0959-3535', '1461-7161']",340467
20,"['0047-2875', '1552-6763']",411958
3,"['1461-7447', '0959-3543']",447737
10,"['1465-1165', '1741-2757']",440519
1,"['1401-5439', '1651-2022']",341953
9,"['1475-2409', '1741-2943']",443685
2,"['0741-7136', '1552-3047']",343654
7,"['1461-703X', '0261-0183']",340594
5,"['1463-4996', '1741-2641']",437855
6,"['1741-2625', '1469-7874']",437269
3,"['0093-8548', '1552-3594']",439555
3,"['1078-0874', '1552-8332']",447975
12,"['1552-7565', '1077-8004']",446261
1,"['1460-3578', '0022-3433']",339805
4,"['1552-4167', '0145-4455']",438350
1,"['0899-7640', '1552-7395']",445251
7,"['0267-3231', '1460-3705']",342677
2,"['1461-7323', '1350-5084']",445477
9,"['1552-5481', '0192-513X']",442914
4,"['0275-0740', '1552-3357']",437633
3,"['1552-6526', '0261-927X']",443187
7,"['0275-0740', '1552-3357']",437633
2,"['1094-4281', '1552-7425']",445481
9,"['1552-6526', '0261-927X']",443187
1,"['1073-1911', '1552-3489']",438173
5,"['0193-841X', '1552-3926']",440530
3,"['1355-3259', '2044-8333']",421778
15,"['1839-2628', '1832-4274']",469918
14,"['1552-6518', '0886-2605']",413929
8,"['0163-4437', '1460-3675']",340413
4,"['0010-4140', '1552-3829']",339954
3,"['0300-9483', '1502-3885']",341032
1,"['1460-3578', '0022-3433']",339805
2,"['1552-3861', '0011-0000']",439542
8,"['1552-7433', '0146-1672']",445664
1,"['0013-161X', '1552-3519']",440087
113,"['0034-4087', '1547-3201']",446387
8,"['1552-390X', '0013-9165']",343684
7,"['1461-7005', '1362-3613']",438299
6,"['1552-5414', '0891-2416']",442696
1,"['0163-2787', '1552-3918']",440527
2,"['1552-4167', '0145-4455']",438350
5,"['1552-6127', '1090-1981']",441080
1,"['1460-3659', '0306-3127']",341858
4,"['1552-5481', '0192-513X']",442914
1,"['1078-0874', '1552-8332']",447975
5,"['1552-8448', '1077-8012']",448049
4,"['1552-3020', '0886-1099']",437414
8,"['1461-7323', '1350-5084']",445477
3,"['2044-8309', '0144-6665']",341449
4,"['0093-8548', '1552-3594']",439555
5,"['0146-6216', '1552-3497']",437942
6,"['1465-1165', '1741-2757']",440519
3,"['1354-0688', '1460-3683']",342774
1,"['1401-5439', '1651-2022']",341953
9,"['1552-7565', '1077-8004']",446261
8,"['1552-7824', '0092-0703']",343304
6,"['0143-831X', '1461-7099']",340935
6,"['0021-9894', '1741-6442']",442635
1,"['0093-6502', '1552-3810']",439282
9,"['1461-7013', '0907-5682']",340457
1,"['0959-3535', '1461-7161']",340467
2,"['1461-7129', '0959-6801']",440446
2,"['1552-3977', '0891-2432']",430583
5,"['1741-315X', '1476-1270']",447191
5,"['0332-5865', '1502-4717']",343546
13,"['1552-4205', '0007-6503']",438754
5,"['0899-7640', '1552-7395']",445251
7,"['1461-7447', '0959-3543']",447737
6,"['0010-8367', '1460-3691']",341375
4,"['1069-3971', '1552-3578']",439615
12,"['1461-7056', '1354-067X']",412123
3,"['1552-8766', '0022-0027']",341332
2,"['0888-3254', '1533-8371']",340057
19,"['0263-2764', '1460-3616']",447745
7,"['1461-7005', '1362-3613']",438299
16,"['0047-2875', '1552-6763']",411958
39,"['0013-161X', '1552-3519']",440087
191,"['0013-1644', '1552-3888']",423797
1,"['1094-4281', '1552-7425']",445481
19,"['0143-831X', '1461-7099']",340935
3,"['1354-0661', '1460-3713']",342825
27,"['1461-7226', '0020-8523']",341294
27,"['0163-2787', '1552-3918']",440527
5,"['1461-4456', '1461-7080']",439919
85,"['0146-6216', '1552-3497']",437942
35,"['0021-9894', '1741-6442']",442635
15,"['0967-0106', '1460-3640']",341164
3,"['1356-3890', '1461-7153']",440526
37,"['1552-390X', '0013-9165']",343684
22,"['1552-3977', '0891-2432']",430583
14,"['1552-5457', '0075-4242']",442852
10,"['1552-6526', '0261-927X']",443187
30,"['1552-5481', '0192-513X']",442914
10,"['1552-8448', '1077-8012']",448049
22,"['0267-3231', '1460-3705']",342677
10,"['1461-7056', '1354-067X']",412123
27,"['1552-4167', '0145-4455']",438350
4,"['1359-1053', '1461-7277']",342588
34,"['0093-8548', '1552-3594']",439555
26,"['0034-4087', '1547-3201']",446387
9,"['1363-4607', '1461-7382']",416744
12,"['1552-5414', '0891-2416']",442696
2,"['1741-3095', '1462-4745']",446248
61,"['0170-8406', '1741-3044']",341656
7,"['0899-7640', '1552-7395']",445251
29,"['0163-4437', '1460-3675']",340413
77,"['1460-3578', '0022-3433']",339805
73,"['1552-7433', '0146-1672']",445664
30,"['1461-7447', '0959-3543']",447737
37,"['1552-6518', '0886-2605']",413929
29,"['0093-6502', '1552-3810']",439282
17,"['0895-9048', '1552-3896']",440095
10,"['1552-3020', '0886-1099']",437414
27,"['0010-8367', '1460-3691']",341375
13,"['1073-1911', '1552-3489']",438173
1,"['1470-5931', '1741-301X']",444575
20,"['1461-7048', '0921-3740']",439642
21,"['2044-8309', '0144-6665']",341449
1,"['0950-0170', '1469-8722']",341902
7,"['1552-7824', '0092-0703']",343304
8,"['1461-7013', '0907-5682']",340457
2,"['1465-1165', '1741-2757']",440519
8,"['1059-7123', '1741-2633']",437275
9,"['0952-6951', '1461-720X']",441215
18,"['1460-3624', '0957-9265']",439917
17,"['1461-703X', '0261-0183']",340594
73,"['1552-3861', '0011-0000']",439542
11,"['1354-0688', '1460-3683']",342774
14,"['1552-4205', '0007-6503']",438754
2,"['1552-7565', '1077-8004']",446261
18,"['0275-0740', '1552-3357']",437633
29,"['0010-4140', '1552-3829']",339954
16,"['0392-1921', '1467-7695']",439909
20,"['0888-3254', '1533-8371']",340057
8,"['1069-3971', '1552-3578']",439615
20,"['1460-3608', '0265-4075']",443737
6,"['1461-7129', '0959-6801']",440446
21,"['1461-7323', '1350-5084']",445477
37,"['1460-3659', '0306-3127']",341858
9,"['1355-3259', '2044-8333']",421778
33,"['0193-841X', '1552-3926']",440530
3,"['1741-2951', '1469-6053']",443738
15,"['0951-6298', '1460-3667']",341606
2,"['1078-0874', '1552-8332']",447975
2,"['1461-7021', '1359-1045']",439148
17,"['0741-7136', '1552-3047']",343654
69,"['1552-8766', '0022-0027']",341332
6,"['1552-8766', '0022-0027']",341332
4,"['1651-2278', '1403-6096']",413517
2,"['1741-2951', '1469-6053']",443738
2,"['1461-7048', '0921-3740']",439642
7,"['1552-7565', '1077-8004']",446261
11,"['1552-7824', '0092-0703']",343304
6,"['0193-841X', '1552-3926']",440530
5,"['1470-5931', '1741-301X']",444575
10,"['1552-3861', '0011-0000']",439542
5,"['0300-9483', '1502-3885']",341032
12,"['0047-2875', '1552-6763']",411958
7,"['0170-8406', '1741-3044']",341656
5,"['1741-282X', '0018-7267']",342897
7,"['1094-4281', '1552-7425']",445481
10,"['1355-3259', '2044-8333']",421778
7,"['1461-7005', '1362-3613']",438299
2,"['1741-2625', '1469-7874']",437269
10,"['1741-2722', '1461-9571']",440415
114,"['1081-1826', '1558-3708']",447272
12,"['0967-0106', '1460-3640']",341164
16,"['1552-6127', '1090-1981']",441080
2,"['1460-3551', '1367-5494']",341525
8,"['1741-3095', '1462-4745']",446248
7,"['1552-5414', '0891-2416']",442696
10,"['0013-1644', '1552-3888']",423797
9,"['0959-3535', '1461-7161']",340467
7,"['1552-8448', '1077-8012']",448049
6,"['1461-703X', '0261-0183']",340594
6,"['0741-7136', '1552-3047']",343654
5,"['1461-7226', '0020-8523']",341294
17,"['1552-6518', '0886-2605']",413929
9,"['1460-3624', '0957-9265']",439917
6,"['1552-4167', '0145-4455']",438350
6,"['1461-7056', '1354-067X']",412123
8,"['1461-4456', '1461-7080']",439919
11,"['0895-9048', '1552-3896']",440095
11,"['0163-4437', '1460-3675']",340413
11,"['1552-7433', '0146-1672']",445664
30,"['0267-257X', '1472-1376']",443259
4,"['1461-7021', '1359-1045']",439148
4,"['1359-1053', '1461-7277']",342588
8,"['1460-3578', '0022-3433']",339805
26,"['0021-9894', '1741-6442']",442635
13,"['1461-7323', '1350-5084']",445477
4,"['1461-7447', '0959-3543']",447737
7,"['1741-2773', '1464-7001']",440623
3,"['1461-7129', '0959-6801']",440446
36,"['2044-8309', '0144-6665']",341449
7,"['1401-5439', '1651-2022']",341953
1,"['1741-2773', '1464-7001']",440623
1,"['0267-257X', '1472-1376']",443259
985,"['1470-1553', '1060-1503']",448043
1,"['1461-7129', '0959-6801']",440446
11,"['1651-2278', '1403-6096']",413517
1,"['1359-1053', '1461-7277']",342588
1,"['1741-2625', '1469-7874']",437269
2,"['1460-3624', '0957-9265']",439917
388,['0005-7894'],438351
945,['0005-7916'],340223
962,"['0032-3217', '1467-9248']",433601
321,"['0892-7537', '1573-7802']",444118
40,"['2667-4874', '1300-1272']",496380
73,['2667-4750'],474122
144,"['2075-9827', '2313-0210']",487807
1000,"['1758-535X', '1079-5006']",444137
144,"['2313-0679', '2313-0660']",490637
350,"['0007-0955', '1464-3529']",343485
119,['0323-7982'],448266
46,"['1588-2810', '0324-4652']",445085
12,['2071-3797'],486934
2,"['0038-1527', '1873-930X']",477494
312,"['1470-1138', '0263-5143']",446434
503,"['1470-1138', '0263-5143']",446434
533,"['2052-6148', '0263-7189']",449260
955,"['1465-3303', '0816-4649']",438258
842,"['1569-9668', '0521-9744']",438318
7,['0522-8468'],502243
1000,"['0033-2917', '1469-8978']",341159
28,['0524-4544'],493998
262,"['2040-8064', '2040-8056']",491325
60,['1865-5866'],487502
405,"['1775-4283', '1281-2463']",476337
74,"['2161-4741', '1074-164X']",470364
360,"['0018-9359', '1557-9638']",441407
640,"['0018-9359', '1557-9638']",441407
468,"['1461-7404', '0037-7686']",446993
532,"['1461-7404', '0037-7686']",446993
1000,"['0090-5992', '1465-3923']",342346
16,"['2613-8794', '2613-8808']",499095
153,"['2613-8751', '0378-7680']",472376
266,['1950-5701'],490827
37,['1949-9833'],476618
